text,label
What is the latest iPhone model?,technology
What time does the Yankees game start?,sports
What is quantum entanglement?,science
How do I write a resume?,general
What are the benefits of yoga?,health
Who won the Oscar for Best Picture?,entertainment
What are the pros and cons of electric cars?,technology
How did the Patriots perform this season?,sports
What’s the difference between mass and weight?,science
How do I reduce stress at work?,general
What’s a Roth IRA and how does it work?,finance
What are common symptoms of anxiety?,health
What’s a good movie to watch with friends?,entertainment
What are some new features in macOS?,technology
Who holds the world record for the 100m dash?,sports
How can I improve my daily routine?,general
How do I create a monthly budget?,finance
What are the health benefits of drinking water?,health
Which show won the most Emmys this year?,entertainment
What are the best headphones for developers?,technology
Who’s leading the NHL in goals this season?,sports
What is mindfulness and how do I practice it?,general
How does refinancing a mortgage work?,finance
What’s the difference between cardio and strength training?,health
What’s a must-watch documentary this year?,entertainment
Is Wi-Fi 7 worth the upgrade?,technology
What channel is the Cowboys game on?,sports
What’s the latest research on black holes?,science
How can I develop better communication skills?,general
What are index funds and how do they work?,finance
What are some effective home workouts?,health
What’s trending on Netflix this week?,entertainment
Should I upgrade my GPU for gaming?,technology
How many championships does LeBron have?,sports
What causes tides in the ocean?,science
What are effective time management strategies?,general
What is the difference between Wi-Fi 6 and Wi-Fi 7?,technology  
How does end-to-end encryption protect data?,technology  
What programming language is best for AI development?,technology  
Why did Meta release a new VR headset?,technology  
What are the latest features in iOS 18?,technology  
How does blockchain technology work?,technology  
What is quantum computing and why is it important?,technology  
Which company makes the M3 chip?,technology  
What is the role of 5G in smart cities?,technology  
How does cloud computing reduce infrastructure costs?,technology  
What are the privacy concerns with generative AI?,technology  
What is Apple’s strategy for Vision Pro apps?,technology  
How do machine learning algorithms improve over time?,technology  
What is the latest Android version called?,technology  
What’s the best laptop for software development?,technology  
How does compound interest affect savings?,finance  
What are the pros and cons of a Roth IRA?,finance  
How does inflation impact consumer purchasing power?,finance  
What are the current mortgage interest rates?,finance  
What is a high-yield savings account?,finance  
How do credit scores affect loan approval?,finance  
What are index funds and how do they work?,finance  
Why do central banks raise interest rates?,finance  
How does a credit card rewards program work?,finance  
What’s the average APR on a new auto loan?,finance  
What’s the difference between stocks and ETFs?,finance  
How does dollar-cost averaging reduce risk?,finance  
What are the risks of investing in cryptocurrency?,finance  
What is a debt-to-income ratio?,finance  
How does a HELOC differ from a personal loan?,finance  
Who leads the NFL in passing yards this season?,sports  
What is the current NBA playoff bracket?,sports  
Which team won the NCAA basketball championship?,sports  
Who holds the MLB record for most home runs?,sports  
What’s the latest injury update on LeBron James?,sports  
Who is favored to win the Stanley Cup?,sports  
Which country hosted the last Olympics?,sports  
What’s the current score in the Lakers game?,sports  
Who won the FIFA Women's World Cup?,sports  
How does a double play work in baseball?,sports  
Which driver won the last Formula 1 Grand Prix?,sports  
What team does Shohei Ohtani play for?,sports  
Who is the reigning UFC heavyweight champion?,sports  
What are the rules for overtime in the NFL?,sports  
Who won the gold medal in men’s 100m sprint?,sports
